"Failed to create payment.","Maksutapahtuman luominen epäonnistui."
"MerchantId*","Kauppiastunnus*"
"Merchant secret*","Kauppiasavain*"
"Order was not found for processing. Please try again.","Tilausta ei löytynyt käsiteltäväksi. Yritä uudelleen."
"Order payment method has changed. Please try again.","Tilauksen maksutapa on vaihtunut. Yritä uudelleen."
"Order did not have any payments due.","Tilaukselta ei puuttunut maksuja."
"There was a problem with the payment gateway. Please try again.","Maksutapahtuman luominen epäonnistui. Yritä uudelleen."
"Redirect user to Siru payment page.","Käyttäjä ohjataan Siru maksusivulle."
"Payment was canceled.","Maksu keskeytetty."
"Payment was unsuccessful.","Maksu epäonnistui."
"Order has been paid","Tilaus maksettu"
"Transaction Status: %s.","Maksutapahtuman tila: %s"
"Auto-generated from Siru Mobile module","Luotu automaattisesti Siru Mobile moduulin kautta"
"Title","Otsikko"
"Use live environment","Käytä tuotantoympäristöä"
"Merchant Id","Kauppiastunnus"
"Merchant secret","Kauppiasavain"
"Order status after payment","Tilauksen tila maksamisen jälkeen"
"Purchase country","Maa"
"Finland","Suomi"
"Submerchant reference","Jälleenmyyjän tunniste"
"Tax class","Veroluokka"
"no tax","veroton"
"tax class 1","Veroluokka 1"
"tax class 2","Veroluokka 2"
"tax class 3","Veroluokka 3"
"Service Group","Palveluluokka"
"Non-profit services","Yleishyödylliset palvelut"
"Online services","Asiointipalvelut"
"Entertainment services","Ajanvietepalvelut"
"Adult entertainment services","Aikuisviihdepalvelut"
"Instant payment","Nopea maksaminen"
"Maximum payment allowed","Suurin sallittu maksu"
